CS Number,Application Track,Country,Program,Korean Language Institution,University,Department,Scholarship Status,alpha2_country,alpha2_cotinent,point,latitude,longitude,one,country_sum,proportion
CS01220218,Embassy,Albania,Master,Seokyeong University,Kyungpook National University,Electronic and electrical engineering,,AL,EU,"(41.000028, 19.9999619, 0.0)",41.000028,19.9999619,1,1,0.000838223
CS01220219,Embassy,Algeria,Doctoral,Pai Chai University,Seoul National University,Earth and environmental sciences,,DZ,AF,"(28.0000272, 2.9999825, 0.0)",28.0000272,2.9999825,1,4,0.003352892
CS01220220,Embassy,Algeria,Master,Sunmoon University,Korea University,Business administration,,DZ,AF,"(28.0000272, 2.9999825, 0.0)",28.0000272,2.9999825,1,4,0.003352892
CS01220221,Embassy,Angola,Master,Sunmoon University,Pusan National University,Dept. of food and resource economics,,AO,AF,"(-11.8775768, 17.5691241, 0.0)",-11.8775768,17.5691241,1,1,0.000838223
CS01220222,Embassy,Argentina,Master,Keimyung University,Hankuk University Of Foreign Studies,International studies,,AR,SA,"(-34.9964963, -64.9672817, 0.0)",-34.9964963,-64.9672817,1,2,0.001676446
CS01220223,Embassy,Argentina,Master,Konyang University,Sogang University,International relations,,AR,SA,"(-34.9964963, -64.9672817, 0.0)",-34.9964963,-64.9672817,1,2,0.001676446
CS01220224,Embassy,Armenia,Master,Pai Chai University,Hankuk University Of Foreign Studies,Korean language and literature,Conditionalsuccessful candidate,AM,AS,"(40.7696272, 44.6736646, 0.0)",40.7696272,44.6736646,1,3,0.002514669
CS01220225,Embassy,Armenia,Master,Busan University Of Foreignstudies,Ewha Womans University,International studies,,AM,AS,"(40.7696272, 44.6736646, 0.0)",40.7696272,44.6736646,1,3,0.002514669
CS01220226,Embassy,Australia,Master,Exempt,Dongguk University,Film and digital media,,AU,OC,"(-24.7761086, 134.755, 0.0)",-24.7761086,134.755,1,1,0.000838223
CS01220227,Embassy,Austria,Master,Exempt,Korea University,Media & communication,Scholarship deffered(6 months),AT,EU,"(47.59397, 14.12456, 0.0)",47.59397,14.12456,1,1,0.000838223
CS01220228,Embassy,Azerbaijan,Master,Exempt,Korea University,Business administration,,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220229,Embassy,Azerbaijan,Doctoral,Exempt,Hankuk University Of Foreign Studies,Korean language and literature,,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220230,Embassy,Azerbaijan,Master,Exempt,Yonsei University,Korean language and literature,Scholarship deffered(6 months),AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220231,Embassy,Azerbaijan,Master,Exempt,Hankuk University Of Foreign Studies,History,,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220232,Embassy,Azerbaijan,Master,Chungnam Univeristy,Kyung Hee University,Chemical engineering,Conditionalsuccessful candidate,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
