hanja한자,strokes총획수,sound장단음,meaningKr_1,meaningKr_2,sound長短音,JLPT,meaningEsp_1,meaningEsp_2
含,7,머금을 함,머금다,품다,ふく.む,2,guardar,encubar
血,6,피 혈,피,물들이다,ち,3,sangre,teñir
噴,15,뿜을 분,뿜다,꾸짖다,ふ.く,1,exhalar,reprender
人,2,사람 인,사람,인간,ひと,5,persona,humano
先,6,먼저 선,먼저,이전,さき,5,primero,tranferencia
汚,6,더러울 오,더럽다,나쁘다,きたな,2,ensuciarse,malo
其,8,그 기,그,만약,それ,5,eso,si
口,3,입 구,입,어귀,くち,4,boca,entrada
海,10,바다 해,바다,바닷 물,うみ,4,mar,agua de mar
不,4,아닐 부,아니다,아니하다,ふ,4,no,negarse
讓,24,사양할 양,사양하다,양보하다,ゆず.る,1,rechazar,ceder
水,4,물 수,물,강물,みず,5,agua,río
能,10,능할 능,능하다,견디다,の,3,ser hábil,aguantar
廣,15,넓을 광,넓다,크다,ひろ.い,5,ser ampli,ser grande
大,3,클 대,크다,높다,だい,5,ser grande,ser alto
知,8,알 지,알다,알리다,チ,4,saber,notificar
足,7,발 족,발,족하다,あし,4,pierna,ser suficiente
可,5,옳을 가,옳다,하락하다,カ,5,ser correcto,bajar
樂,15,"노래 악, 즐길 락, 좋아할 요",노래,즐기다,らく,2,canción,disfrutar
務,11,힘쓸 무,힘쓰다,권면하다,つとめ,3,esforzarse,recomendar
貪,11,탐낼 탐,탐내다,바라다,むさぼ,3,codiciar,desear
則,9,"법칙 칙, 곧 즉",법칙,곧,のり,2,ley,en seguida
憂,15,근심 우,근심,질병,う,1,preocupación,enfermedad
彼,8,저 피,저,그,かれ,3,yo,él
己,3,몸 기,몸,자기,おのれ,1,cuerpo,si mismo
百,6,"일백 백, 힘쓸 맥",백,온갖,ヒャク,5,cien,todos
戰,16,싸움 전,싸우다,경기,いくさ,3,pelear,game
危,6,위태할 위,위태하다,거의,キ,3,ser peligroso,casi
