"grammar","sentence","translation"
"을수록","운동을 할수록 체력이 좋아져서, 더 오랜 시간동안 운동할 수 있게 됩니다.","As I exercise more, my stamina improves and I am able to exercise for longer periods of time."
"을수록","사람들과 많이 대화할수록, 한국어 실력이 점점 더 향상됩니다.","The more I talk with people, the more my Korean language skills improve."
"을수록","공부할수록, 내 실력을 향상시키고 좀 더 많은 일을 할 수 있게 됩니다.","As I study more, I improve my skills and am able to do more things."
"을수록","자주 운동하지 않을수록, 건강이 나빠지고 체력이 떨어집니다.","The less often I exercise, the worse my health becomes and my stamina decreases."
"을수록","여행을 할수록, 새로운 문화와 사람들을 만나서, 많은 경험을 쌓을 수 있습니다.","The more I travel, the more I can accumulate new experiences by meeting new cultures and people."
"려면","한국어를 잘 하려면, 열심히 공부해야 합니다.","If you want to speak Korean well, you need to study hard."
"려면","내일 시험을 잘 보려면, 오늘 밤 늦게까지 공부해야 합니다.","If I want to do well on tomorrow's exam, I need to study late into the night today."
"려면","사람들과 원활하게 소통하려면, 좋은 언어 실력이 필요합니다.","If you want to communicate well with people, you need good language skills."
"려면","여행을 다녀오려면, 충분한 예산이 필요합니다.","If you want to go on a trip, you need sufficient budget."
"려면","이 일을 해결하려면, 창의적인 해결책이 필요합니다.","If we want to solve this problem, we need a creative solution."
"거나","과자를 사거나 음료수를 사세요.","Buy either snacks or drinks."
"거나","기차로 갈 거나 버스로 갈 거나, 어떻게 갈지 고민 중이다.","I'm trying to decide whether to go by train or by bus."
"거나","여행을 가거나 집에서 쉴 거나, 어떻게 할지 결정 중이다.","I'm trying to decide whether to go on a trip or to stay at home and rest."
"거나","스케이트를 타거나 스노우보드를 타거나, 어떤 것이 좋을까?","Should I go skating or snowboarding? Which one is better?"
"거나","책을 읽거나 쓰거나, 시간을 낭비하지 마세요.","Don't waste your time, read a book or write something." 
"거든","나는 늦은 거든 너도 늦은 거든 같이 가자.","Let's go together whether I'm late or you're late."
"거든","저녁을 먹은 거든 안 먹은 거든, 이야기나 나누러 갈까?","Shall we go talk, whether you've had dinner or not?"
"거든","비가 오는 거든 맑은 날이 거든, 매일 조깅을 합니다.","I go jogging every day, whether it's raining or it's a sunny day."
"거든","바쁜 거든 한가한 거든, 운동은 꾸준히 합니다.","I exercise regularly, whether I'm busy or free."
"거든","시험에 합격한 거든 불합격한 거든, 열심히 공부해야 합니다.","Whether you pass or fail the exam, you need to study hard." 
"고 나서","밥을 먹고 나서, 영화를 보러 갔어요.","After eating, we went to watch a movie."
"고 나서","책을 읽고 나서, 잠을 자기 시작했어요.","After reading a book, I started to sleep."
"고 나서","운동을 하고 나서, 샤워를 해야 돼요.","After exercising, you should take a shower."
"고 나서","물을 마시고 나서, 이메일을 확인했어요.","After drinking water, I checked my email."
"고 나서","폰을 꺼놓고 나서, 산책을 갔어요.","After turning off my phone, I went for a walk." 
"느라고","일하느라고 점심을 먹지 못했어요.","I couldn't have lunch because I was working."
"느라고","공부하느라고 친구들과 놀지 못했어요.","I couldn't hang out with my friends because I was studying."
"느라고","자기 전까지 일을 하느라고 피곤해 죽겠어요.","I'm dead tired because I worked until before going to bed."
"느라고","우산을 가져오느라고 지갑을 놓고 왔어요.","I forgot my wallet because I was bringing an umbrella."
"느라고","여행을 준비하느라고 바빴어요.","I was busy preparing for the trip." 
"는 길에","학교에 가는 길에 친구를 만났어요.","I met a friend on the way to school."
"는 길에","집에 돌아오는 길에 비가 오기 시작했어요.","It started to rain on the way back home."
"는 길에","시장에서 장을 보고 있는 길에 아이스크림을 먹었어요.","I ate ice cream on the way back from the market."
"는 길에","산책하는 길에 예쁜 꽃을 보았어요.","I saw pretty flowers on the way while taking a walk."
"는 길에","여행 중인 길에 갑자기 비행기가 불안정하게 날았어요.","The airplane suddenly flew unsteadily on the way during the trip." 
"는 대로","남들이 하는 대로 하면 안 돼요.","You shouldn't just do what others do."
"는 대로","일하는 대로 돈을 벌 수 있는 건 아니에요.","You can't make money just by working."
"는 대로","가장 좋아하는 대로 하세요.","Do what you like the most."
"는 대로","꿈을 향해 열심히 노력하는 대로 성공할 수 있어요.","You can succeed as much as you work hard towards your dream."
"는 대로","삶에서 행복한 대로 살아가면 되요.","Just live as happy as you can in life." 
"는 대신에","돈은 없지만 건강한 대신에 행복합니다.","I'm happy despite having no money, but being healthy."
"는 대신에","과제는 내가 대신해 줄게요.","I'll do the assignment in your place."
"는 대신에","시간이 없는 대신에 돈을 써서 해결했어요.","I solved the problem by spending money instead of time."
"는 대신에","저는 휴가를 포기하고 대신에 일을 했어요.","I gave up my vacation and worked instead."
"는 대신에","그 일을 할 수 없는 대신에 다른 일을 할게요.","I'll do another job instead of not being able to do that one." 
"다 보면","시간을 충분히 주다 보면 문제를 해결할 수 있을 거예요.","If you give enough time, you can solve the problem."
"다 보면","미래를 생각하다 보면 불안해지는 경우가 많아요.","When you think about the future, you often become anxious."
"다 보면","그는 처음에는 어색했지만, 친해짐에 따라 다 보면 좋은 친구가 되었어요.","He was awkward at first, but as we got closer, he became a good friend."
"다 보면","여행을 하다 보면 좋은 추억이 많아져요.","As you travel more, you will have more good memories."
"다 보면","노력하다 보면 결국 성공할 수 있어요.","If you keep working hard, you will eventually succeed." 
"더니","날씨가 좋았더니 갑자기 비가 오기 시작했어요.","The weather was nice, but suddenly it started raining."
"더니","그는 도망쳤더니 결국 경찰에 붙잡혔어요.","He ran away, but was eventually caught by the police."
"더니","연락이 안 되더니 전화기가 고장났던 거예요.","I couldn't get in touch, but it turned out my phone was broken."
"더니","영어는 잘하는 줄 알았더니, 회사에서는 제대로 말을 못 하네요.","I thought I was good at English, but I can't speak it properly at work."
"더니","프로그램이 오래 걸리더니, 점심을 먹으러 나갔다가 돌아와도 계속 실행 중이었어요.","The program took a long time, so I went out to have lunch and when I came back, it was still running." 
"더라도","비가 오더라도 축제는 계속 진행될 예정입니다.","The festival will continue even if it rains."
"더라도","일찍 일어나더라도 버스를 놓치지 않도록 조심하세요.","Even if you wake up early, be careful not to miss the bus."
"더라도","돈이 많아야 행복하다는 건 늙은 사람들이 믿는 이야기더라도, 사실은 그렇지 않아요.","Even though old people believe that having a lot of money brings happiness, it's not true."
"더라도","시간이 부족하더라도 프로젝트를 완료해야 합니다.","Even if we don't have enough time, we have to complete the project."
"더라도","어떤 일이 있더라도 친구를 돕는 것은 당연한 일입니다.","It's natural to help a friend, even if something else is happening." 
"도록","시험이 어려우니까 열심히 공부하도록 해요.","Since the exam is difficult, let's study hard for it."
"도록","반드시 계약서를 읽고 서명하도록 하세요.","Make sure to read and sign the contract."
"도록","내년에 해외여행을 가려면 이번에 돈을 모아둬야 돼요.","If you want to travel abroad next year, you need to save money now."
"도록","한국어를 잘하도록 노력하고 있습니다.","I'm trying to become good at Korean."
"도록","부모님께 효도하도록 노력해야 합니다.","We should make an effort to be filial to our parents." 
"든지","오늘 밤에 뭐를 먹든지 결정하면 알려주세요.","Let me know what you want to eat tonight."
"든지","토론을 하든지, 자유로운 토론 시간을 가지세요.","Have a free discussion time, or have a debate."
"든지","시간 내에 일을 마치든지, 내일 다시 오세요.","Finish your work on time, or come back tomorrow."
"든지","어디를 가든지, 그곳에서 즐거운 시간을 보내세요.","Wherever you go, have a good time there."
"든지","부모님께서 오시든지, 저희는 반갑게 맞이하겠습니다.","Whether my parents come or not, we will welcome them warmly." 
"듯이","그녀는 감기에 걸린 것처럼 코를 계속 풀고 있어요.","She keeps blowing her nose as if she caught a cold."
"듯이","어제 밤에는 외로웠던 것처럼 그녀가 연락해왔어요.","She contacted me as if she was lonely last night."
"듯이","그녀는 눈물을 흘리는 것처럼 매우 슬퍼 보였어요.","She looked very sad as if she was shedding tears."
"듯이","그가 남자친구처럼 나를 대할 때마다 좋았어요.","I liked it whenever he treated me like his boyfriend."
"듯이","나는 그가 날 지켜주는 것처럼 안심했다.","I felt relieved as if he was protecting me." 
"아/어도","비록 시간이 부족해도 노력해 보세요.","Even if you're short on time, try your best."
"아/어도","그녀와 얘기를 하기가 어려워도 대화를 시작해 보세요.","Even if it's difficult to talk to her, try starting a conversation."
"아/어도","이것이 실수라도 용서해 주세요.","Please forgive me even if it's a mistake."
"아/어도","너무 바쁘다고 해서 운동하지 않아도 돼요.","Even if you're too busy, you don't have to exercise."
"아/어도","힘들어도 포기하지 마세요.","Don't give up even if it's difficult." 
"았/었더라면","시간을 더 있었다면, 더 많은 일을 할 수 있었을 텐데.","If I had more time, I could have done more things."
"았/었더라면","지하철을 놓쳤더라면 더 늦어졌을 거야.","If I had missed the subway, I would have been even later."
"았/었더라면","집에 머물렀더라면, 이 일을 당하지 않았을 텐데.","If I had stayed home, I wouldn't have had this problem."
"았/었더라면","오늘은 비가 오지 않았더라면, 나들이를 갔을텐데.","If it didn't rain today, we would have gone out."
"았/었더라면","그 사람을 더 잘 알고 있었다면, 더 효율적인 방법을 썼을 것 같아.","If I knew him better, I think I could have used a more efficient way." 
"으나 마나","이번 시험에서 잘 봤으나 마나 다음 시험에서 또 잘 볼 수 있으면 좋겠어.","Whether I did well on this test or not, I hope I can do well on the next one too."
"으나 마나","희망은 있으나 마나 현실은 더 중요해.","Although there is hope, reality is more important."
"으나 마나","이 책은 가볍으나 마나 깊은 의미를 담고 있어.","Although this book is light, it contains deep meanings."
"으나 마나","내가 얼마나 바쁘던 유무나 마나 그 일을 끝내야 했어.","Whether I was busy or not, I had to finish that task."
"으나 마나","아이들은 어리/거나 마나 잘 즐겼어.","Whether they were young or not, the kids had a good time." 
"까 봐","그녀가 일찍 집에 가는 걸 봤는데, 늦게까지 일했을까 봐 걱정이 돼.","I saw her leave early, and I'm worried she worked late."
"까 봐","바쁘다고 했는데, 건강이 안 좋은 건 아닐까 봐 걱정이 돼.","They said they were busy, but I'm worried their health might not be good."
"까 봐","그 도시는 위험한 곳이라서, 딸이 거기서 일을 하지 않았으면 좋겠어. 걱정이 돼 까 봐.","That city is a dangerous place, so I hope my daughter doesn't work there. I'm worried about it."
