"word","sentence","translation","word_translation"
"방향","나는 항상 나의 꿈을 향한 방향으로 나아가고 있다.","I'm always moving towards my dream.","direction"
"방향","내일 아침 일찍 출발하면 도착하는 방향에 더 좋은 호텔이 있다.","If you leave early tomorrow morning, there is a better hotel in the direction you will arrive.","direction"
"방향","어떤 방향으로든지 결정해도 좋으니 마음대로 해.","You can decide in any direction you want, so do as you please.","direction"
"방향","편의점을 나가면서 왼쪽 방향으로 걸어가면 더 많은 상점이 있다.","There are more shops if you walk to the left direction as you leave the convenience store.","direction"
"방향","도시의 남쪽 방향으로는 아름다운 해변이 있다.","There is a beautiful beach to the south direction of the city." ,"direction"
"회전","그녀는 더 높은 수익을 회전했다.","She generated higher profits through rotation.","rotation"
"회전","회사의 이익은 회전에 따라 다르다.","Company profits vary depending on the rotation.","rotation"
"회전","차량이 회전하면서 바퀴가 굴러갔다.","The wheels rolled as the car turned.","rotation"
"회전","사람들은 머리를 회전하는 동안 목을 다칠 수 있다.","People can hurt their necks while turning their heads.","rotation"
"회전","작은 부엌은 요리하면서 머리를 돌리는 것이 어려워서 회전에서 벗어나야 한다.","In a small kitchen, it's necessary to step away from rotation while cooking and turning one's head is difficult.","rotation"
"육아","육아 휴직이 필요한가요?","Do you need a childcare leave?","care"
"육아","남편은 육아를 해주고, 아내는 일을 하고 있습니다.","The husband takes care of the children and the wife is working.","care"
"육아","육아 중인 부모들은 자녀에 대한 관심을 놓치지 않아야 합니다.","Parents raising children should not miss their interest in their children.","care"
"육아","육아는 어렵고 힘든 일이지만 보람도 큽니다.","Raising children is difficult and challenging, but it's also rewarding.","care"
"육아","육아를 하면서도 꾸준히 일을 하기는 어렵지만 가능합니다.","It's possible to work steadily while taking care of children, even though it's not easy.","care"
"꾸준히","공부를 꾸준히 해야 좋은 성적을 얻을 수 있습니다.","You need to study consistently to get good grades.","consistently"
"꾸준히","운동을 꾸준히 하면 건강에 좋습니다.","Exercising regularly is good for your health.","consistently"
"꾸준히","한국어를 꾸준히 공부하면 서서히 능숙해질 수 있습니다.","You can gradually become proficient in Korean by studying it consistently.","consistently"
"꾸준히","목표를 정하고 꾸준히 노력하면 언젠가는 성취할 수 있습니다.","If you set a goal and work on it consistently, you can eventually achieve it.","consistently"
"꾸준히","생각을 꾸준히 정리하면 더욱 창의적인 아이디어를 생각해낼 수 있습니다.","If you consistently organize your thoughts, you can come up with more creative ideas.","consistently"
"휴직","휴직을 하면 직장에서 일을 끊어야 한다.","If you take a leave of absence, you have to cut off work at the workplace.","absence"
"휴직","내가 휴직을 신청하면 그것을 허락해 줄까?","If I apply for a leave of absence, will they allow it?","absence"
"휴직","나는 임신 중에 휴직을 썼다.","I took a leave of absence during my pregnancy.","absence"
"휴직","그는 회사에서 휴직을 신청했다.","He applied for a leave of absence at the company.","absence"
"휴직","회사에서는 휴직자에 대해 월급을 주지 않는다.","The company does not pay salaries to those on leave.","absence"
"급여","급여가 늘어날수록 더 많은 돈이 필요해져요.","As your salary increases, you need more money.","salary"
"급여","이 회사는 직원들의 급여를 매달 지급합니다.","This company pays its employees' salaries every month.","salary"
"급여","저는 이 직장에서 일하면서 급여 외에도 많은 혜택을 받을 수 있습니다.","I can get a lot of benefits in addition to my salary while working at this job.","salary"
"급여","급여가 낮아도 좋은 경험을 쌓을 수 있는 일을 찾고 있어요.","I'm looking for a job where I can gain good experience even if the salary is low.","salary"
